127.0.0.1 - - [29/Jun/2023:10:51:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/ HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/css/gallery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/css/dataroom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/css/sns.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/js/gbraucp2Move.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/js/gbraucp2Check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/js/gbraucp2_jQuery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/img/ball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/img/backpack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/js/jQuery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/img/Airport.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:10:51:22 +0900] "GET /gbraucp2/resources/img/menu.png HTTP/1.1" 304 -
